"year","시도","시군구","발전소명","연료","발전방식","용량_kW","발전량_MWh"
2020,"경기","안성시","hydro","수력","hydro",0,484.686
2020,"경기","안성시","ocean","해양","ocean",0,0
2020,"경기","안성시","waste","폐기물","waste",0,0
2020,"경기","안성시","wind","풍력","wind",0,7.23
2020,"경기","안양시","IGCC","IGCC","IGCC",0,0
2020,"경기","안양시","PV","태양광","PV",0,7138.82927615489
2020,"경기","안양시","bio","바이오","bio",0,0
2020,"경기","안양시","fuelcell","연료전지","fuelcell",0,23722.8018463514
2020,"경기","안양시","hydro","수력","hydro",0,1166.22
2020,"경기","안양시","ocean","해양","ocean",0,0
2020,"경기","안양시","waste","폐기물","waste",0,6112.67993456342
2020,"경기","안양시","wind","풍력","wind",0,0
2020,"경기","양주시","IGCC","IGCC","IGCC",0,0
2020,"경기","양주시","PV","태양광","PV",0,27779.9085184124
2020,"경기","양주시","bio","바이오","bio",0,0
2020,"경기","양주시","fuelcell","연료전지","fuelcell",0,0
2020,"경기","양주시","hydro","수력","hydro",0,0
2020,"경기","양주시","ocean","해양","ocean",0,0
2020,"경기","양주시","waste","폐기물","waste",0,7848.30844828303
2020,"경기","양주시","wind","풍력","wind",0,0
2020,"경기","양평군","IGCC","IGCC","IGCC",0,0
2020,"경기","양평군","PV","태양광","PV",0,38597.0314393897
2020,"경기","양평군","bio","바이오","bio",0,0
2020,"경기","양평군","fuelcell","연료전지","fuelcell",0,0
2020,"경기","양평군","hydro","수력","hydro",0,0
2020,"경기","양평군","ocean","해양","ocean",0,0
2020,"경기","양평군","waste","폐기물","waste",0,0
2020,"경기","양평군","wind","풍력","wind",0,0
2020,"경기","여주시","IGCC","IGCC","IGCC",0,0
2020,"경기","여주시","PV","태양광","PV",0,137249.021626554
2020,"경기","여주시","bio","바이오","bio",0,0
2020,"경기","여주시","fuelcell","연료전지","fuelcell",0,0
2020,"경기","여주시","hydro","수력","hydro",0,71435.45928
2020,"경기","여주시","ocean","해양","ocean",0,0
2020,"경기","여주시","waste","폐기물","waste",0,0
2020,"경기","여주시","wind","풍력","wind",0,0
2020,"경기","연천군","IGCC","IGCC","IGCC",0,0
2020,"경기","연천군","PV","태양광","PV",0,89417.2335129084
2020,"경기","연천군","bio","바이오","bio",0,2782.064
2020,"경기","연천군","fuelcell","연료전지","fuelcell",0,0
2020,"경기","연천군","hydro","수력","hydro",0,5028.754824
2020,"경기","연천군","ocean","해양","ocean",0,0
2020,"경기","연천군","waste","폐기물","waste",0,51.646603169823
2020,"경기","연천군","wind","풍력","wind",0,0
2020,"경기","오산시","IGCC","IGCC","IGCC",0,0
2020,"경기","오산시","PV","태양광","PV",0,10929.7449085483
2020,"경기","오산시","bio","바이오","bio",0,0
2020,"경기","오산시","fuelcell","연료전지","fuelcell",0,464.623231533186
2020,"경기","오산시","hydro","수력","hydro",0,0
2020,"경기","오산시","ocean","해양","ocean",0,0
2020,"경기","오산시","waste","폐기물","waste",0,0
2020,"경기","오산시","wind","풍력","wind",0,0
2020,"경기","용인시","IGCC","IGCC","IGCC",0,0
2020,"경기","용인시","PV","태양광","PV",0,59498.2767091254
2020,"경기","용인시","bio","바이오","bio",0,0
2020,"경기","용인시","fuelcell","연료전지","fuelcell",0,544.528600452343
2020,"경기","용인시","hydro","수력","hydro",0,89.006
2020,"경기","용인시","ocean","해양","ocean",0,0
2020,"경기","용인시","waste","폐기물","waste",0,12284.3903331881
2020,"경기","용인시","wind","풍력","wind",0,0
2020,"경기","의왕시","IGCC","IGCC","IGCC",0,0
2020,"경기","의왕시","PV","태양광","PV",0,4174.62253920892
2020,"경기","의왕시","bio","바이오","bio",0,0
2020,"경기","의왕시","fuelcell","연료전지","fuelcell",0,6.36470180182446
2020,"경기","의왕시","hydro","수력","hydro",0,0
2020,"경기","의왕시","ocean","해양","ocean",0,0
2020,"경기","의왕시","waste","폐기물","waste",0,0
2020,"경기","의왕시","wind","풍력","wind",0,0
2020,"경기","의정부시","IGCC","IGCC","IGCC",0,0
2020,"경기","의정부시","PV","태양광","PV",0,11497.9154699373
2020,"경기","의정부시","bio","바이오","bio",0,1113.58692
2020,"경기","의정부시","fuelcell","연료전지","fuelcell",0,63.6470180182446
2020,"경기","의정부시","hydro","수력","hydro",0,0
2020,"경기","의정부시","ocean","해양","ocean",0,0
2020,"경기","의정부시","waste","폐기물","waste",0,3437.39599395155
2020,"경기","의정부시","wind","풍력","wind",0,0
2020,"경기","이천시","IGCC","IGCC","IGCC",0,0
2020,"경기","이천시","PV","태양광","PV",0,131436.809882764
2020,"경기","이천시","bio","바이오","bio",0,1.393
2020,"경기","이천시","fuelcell","연료전지","fuelcell",0,445.529126127713
2020,"경기","이천시","hydro","수력","hydro",0,0
2020,"경기","이천시","ocean","해양","ocean",0,0
2020,"경기","이천시","waste","폐기물","waste",0,16896.817292831
2020,"경기","이천시","wind","풍력","wind",0,0
2020,"경기","파주시","IGCC","IGCC","IGCC",0,0
2020,"경기","파주시","PV","태양광","PV",0,73934.4842085498
2020,"경기","파주시","bio","바이오","bio",0,167
2020,"경기","파주시","fuelcell","연료전지","fuelcell",0,28218.7553404146
2020,"경기","파주시","hydro","수력","hydro",0,358.49
2020,"경기","파주시","ocean","해양","ocean",0,0
2020,"경기","파주시","waste","폐기물","waste",0,0
2020,"경기","파주시","wind","풍력","wind",0,0
2020,"경기","평택시","IGCC","IGCC","IGCC",0,0
2020,"경기","평택시","PV","태양광","PV",0,100078.986969547
2020,"경기","평택시","bio","바이오","bio",0,258026.7472
2020,"경기","평택시","fuelcell","연료전지","fuelcell",0,119449.605248652
2020,"경기","평택시","hydro","수력","hydro",0,0
2020,"경기","평택시","ocean","해양","ocean",0,0
2020,"경기","평택시","waste","폐기물","waste",0,0
2020,"경기","평택시","wind","풍력","wind",0,0
2020,"경기","포천시","IGCC","IGCC","IGCC",0,0
2020,"경기","포천시","PV","태양광","PV",0,81945.3583570066
2020,"경기","포천시","bio","바이오","bio",0,2808.352188
2020,"경기","포천시","fuelcell","연료전지","fuelcell",0,2965.25010540547
