"","MGM_BLD_PK","ENTIR_ADDR","USE_PURPS_CD","USE_YM","USE_QTY","USE_QTY_ORIGIN","UNIT_CD","ENGY_SPLY_KIK_CD","ENGY_ESNCNO"
"118","41171-28331","경기도 안양시 만안구 안양동 371번지",7,202002,209.611,230,1,1100100000,214657637
"119","41171-28331","경기도 안양시 만안구 안양동 371번지",7,202002,6290.727,6684.93,8,1201000000,6100315014
"120","41171-28332","경기도 안양시 만안구 안양동 371번지",7,202002,163.907,181,1,1100100000,214657619
"121","41171-28332","경기도 안양시 만안구 안양동 371번지",7,202002,2103.152,1788.325,8,1201000000,6100314984
"122","41171-28333","경기도 안양시 만안구 안양동 371번지",7,202002,183.315,196,1,1100100000,214657520
"123","41171-28333","경기도 안양시 만안구 안양동 371번지",7,202002,7855.848,8302.938,8,1201000000,6100314716
"124","41171-28334","경기도 안양시 만안구 안양동 371번지",7,202002,210.886,223,1,1100100000,214657593
"125","41171-28334","경기도 안양시 만안구 안양동 371번지",7,202002,3536.767,4087.601,8,1201000000,6100314915
"126","41171-28335","경기도 안양시 만안구 안양동 371번지",7,202002,197.735,212,1,1100100000,214657511
"127","41171-28335","경기도 안양시 만안구 안양동 371번지",7,202002,5755.42,6472.034,8,1201000000,6100314689
"128","41171-28336","경기도 안양시 만안구 안양동 371번지",7,202002,212.458,226,1,1100100000,214657405
"129","41171-28336","경기도 안양시 만안구 안양동 371번지",7,202002,7056.909,7749.41,8,1201000000,6100314482
"130","41171-28337","경기도 안양시 만안구 안양동 371번지",7,202002,183.07,194,1,1100100000,214657584
"131","41171-28337","경기도 안양시 만안구 안양동 371번지",7,202002,3347.201,3619.23,8,1201000000,6100314888
"132","41171-28338","경기도 안양시 만안구 안양동 371번지",7,202002,195.998,209,1,1100100000,214657502
"133","41171-28338","경기도 안양시 만안구 안양동 371번지",7,202002,1633.837,1916.063,8,1201000000,6100314663
"134","41171-28339","경기도 안양시 만안구 안양동 371번지",7,202002,232.276,248,1,1100100000,214657398
"135","41171-28339","경기도 안양시 만안구 안양동 371번지",7,202002,2542.688,2810.226,8,1201000000,6100314448
"136","41171-28340","경기도 안양시 만안구 안양동 371번지",7,202002,235.473,253,1,1100100000,214657575
"137","41171-28340","경기도 안양시 만안구 안양동 371번지",7,202002,3767.388,4257.917,8,1201000000,6100314865
"138","41171-28341","경기도 안양시 만안구 안양동 371번지",7,202002,231.588,248,1,1100100000,214657496
